Visitor/Neutral,PTS,Home/Neutral,PTS,WIN
Memphis Grizzlies,104,Philadelphia 76ers,90,V
Dallas Mavericks,99,Toronto Raptors,103,H
Detroit Pistons,100,Atlanta Hawks,107,H
Dallas Mavericks,119,Brooklyn Nets,118,V
Boston Celtics,102,Charlotte Hornets,89,V
New York Knicks,84,Cleveland Cavaliers,91,H
Utah Jazz,85,Golden State Warriors,103,H
Sacramento Kings,108,Indiana Pacers,106,V
Oklahoma City Thunder,120,Los Angeles Lakers,85,V
Philadelphia 76ers,100,Milwaukee Bucks,113,H
San Antonio Spurs,108,Minnesota Timberwolves,83,V
Portland Trail Blazers,89,New Orleans Pelicans,115,H
Houston Rockets,101,Orlando Magic,104,H
Denver Nuggets,104,Phoenix Suns,96,V
Memphis Grizzlies,91,Washington Wizards,100,H
Cleveland Cavaliers,83,Golden State Warriors,89,H
San Antonio Spurs,84,Houston Rockets,88,H
Los Angeles Clippers,94,Los Angeles Lakers,84,V
New Orleans Pelicans,88,Miami Heat,94,H
Chicago Bulls,105,Oklahoma City Thunder,96,V
New York Knicks,98,Atlanta Hawks,117,H
Washington Wizards,111,Brooklyn Nets,96,V
Memphis Grizzlies,92,Charlotte Hornets,98,H
Chicago Bulls,111,Dallas Mavericks,118,H
Boston Celtics,99,Detroit Pistons,93,V
Toronto Raptors,111,Milwaukee Bucks,90,V
Indiana Pacers,102,Minnesota Timberwolves,88,V
Houston Rockets,108,New Orleans Pelicans,110,H
Miami Heat,108,Orlando Magic,101,V
Philadelphia 76ers,111,Phoenix Suns,104,V
Cleveland Cavaliers,76,Portland Trail Blazers,105,H
Denver Nuggets,86,San Antonio Spurs,101,H
Los Angeles Clippers,109,Utah Jazz,104,V
New York Knicks,91,Boston Celtics,100,H
Los Angeles Lakers,96,Memphis Grizzlies,112,H
Denver Nuggets,112,Oklahoma City Thunder,122,H
Portland Trail Blazers,98,Sacramento Kings,94,V
Toronto Raptors,97,Chicago Bulls,104,H
Los Angeles Lakers,98,Charlotte Hornets,108,H
Milwaukee Bucks,93,Dallas Mavericks,103,H
Sacramento Kings,103,Golden State Warriors,122,H
